id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,223.48,36.07,151.33,7.64,413.82,ok
threshold=99,threshold,99,6,base,60,99,5,5_animals,10,10,235.91,31.8,154.92,0.22,425.64,ok
threshold=99.5,threshold,99.5,6,base,60,99.5,5,5_animals,10,10,224.45,36.78,153.97,0.3,418.19,ok
